Accession,Submitters,Release_Date,Isolate,Species,Molecule_type,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
NC_055645,"Olmedo Velarde,A., Park,A., Melzer,M.J.",2021-06-01T00:00:00Z,UH_Manoa,Ti ringspot-associated emaravirus,ssRNA(-),1323,USA: Hawaii,HI,Cordyline fruticosa,plant leaf,2017-09-20
NC_055646,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.",2021-06-01T00:00:00Z,YD,Actinidia emaravirus 2,ssRNA(-),1387,China,,Actinidia deliciosa,,2016-06
NC_055647,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.",2021-06-01T00:00:00Z,YD,Actinidia emaravirus 2,ssRNA(-),7079,China,,Actinidia deliciosa,,2016-06
NC_055648,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.",2021-06-01T00:00:00Z,YD,Actinidia emaravirus 2,ssRNA(-),2252,China,,Actinidia deliciosa,,2016-06
NC_055649,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.",2021-06-01T00:00:00Z,YD,Actinidia emaravirus 2,ssRNA(-),1514,China,,Actinidia deliciosa,,2016-06
NC_055650,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.",2021-06-01T00:00:00Z,YD,Actinidia emaravirus 2,ssRNA(-),1744,China,,Actinidia deliciosa,,2016-06
NC_055651,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.",2021-06-01T00:00:00Z,YD,Actinidia emaravirus 2,ssRNA(-),1233,China,,Actinidia deliciosa,,2016-06
NC_055652,"Ramos-Gonzalez,P.L., Santos,G., Chavi-Jesus,C., Harakava,R., Kitajima,E.W., Freitas-Astua,J.",2021-06-01T00:00:00Z,PFGSV/Snp1,Passion fruit green spot virus,ssRNA(+),4793,"Brazil: Sinop, MT",,Passiflora,plant leaf,2016-12
NC_055653,"Ramos-Gonzalez,P.L., Santos,G., Chavi-Jesus,C., Harakava,R., Kitajima,E.W., Freitas-Astua,J.",2021-06-01T00:00:00Z,PFGSV/Snp1,Passion fruit green spot virus,ssRNA(+),8753,Brazil,,Passiflora,plant leaf,2016-12
NC_055654,"Petrzik,K., Koloniuk,I., Sehadova,H., Sarkisova,T.",2021-06-01T00:00:00Z,ZSH,Chrysothrix chrysovirus 1,dsRNA,2879,Czech Republic,,Penicillium citreosulfuratum,,2014
NC_055655,"Petrzik,K., Koloniuk,I., Sehadova,H., Sarkisova,T.",2021-06-01T00:00:00Z,ZSH,Chrysothrix chrysovirus 1,dsRNA,3552,Czech Republic,,Penicillium citreosulfuratum,,2014
NC_055656,"Petrzik,K., Koloniuk,I., Sehadova,H., Sarkisova,T.",2021-06-01T00:00:00Z,ZSH,Chrysothrix chrysovirus 1,dsRNA,3191,Czech Republic,,Penicillium citreosulfuratum,,2014
NC_055657,"Petrzik,K., Koloniuk,I., Sehadova,H., Sarkisova,T.",2021-06-01T00:00:00Z,ZSH,Chrysothrix chrysovirus 1,dsRNA,2760,Czech Republic,,Penicillium citreosulfuratum,,2014
NC_054890,"Fijalek,A., Gizinski,R., Giermasinska-Buczek,K., Gagala,U., Gawor,J., Kropinski,A.M., Lobocka,M.",2021-05-27T00:00:00Z,,Pseudomonas virus 3MF5,dsDNA,41608,Poland,,Pseudomonas syringae,,2011
NC_054891,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Anchaing,dsDNA,43597,Reunion,,Ralstonia pseudosolanacearum,,2018-02-13
NC_054892,"Chen,Y., Qian,P., Song,J., Li,X.",2021-05-27T00:00:00Z,,Escherichia virus PHB17,dsDNA,48939,,,Escherichia coli,,
NC_054893,"Wang,X.",2021-05-27T00:00:00Z,,Escherichia virus W011D,dsDNA,49847,,,Escherichia,,
NC_054894,"Li,Q., Teng,T.",2021-05-27T00:00:00Z,,Escherichia phage Henu7,dsDNA,49526,China,,Escherichia coli,,2018-11-02
NC_054895,"Redgwell R,T., Michniewski,S., Millard,A.",2021-05-27T00:00:00Z,,Escherichia virus SLUR29,dsDNA,48466,,,Escherichia,,
NC_054896,"Olsen,N.S., Forero-Junco,L., Kot,W., Hansen,L.H., Junco,L.M.F.",2021-05-27T00:00:00Z,,Escherichia virus tiwna,dsDNA,51014,Denmark,,Escherichia coli,,2017
NC_054897,"Kumar,P., Meghvansi,M.K., Kamboj,D.V.",2021-05-27T00:00:00Z,,Citrobacter virus HCF1,dsDNA,45806,India,,Citrobacter amalonaticus,,2016-01
NC_054898,"Kumar,P., Meghvansi,M.K., Kamboj,D.V.",2021-05-27T00:00:00Z,,Vibrio virus 2019VC1,dsDNA,47778,India,,Vibrio cholerae,,2016-01
NC_054899,"Mizuno,C.M., Debarbieux,L., Roach,D.R.",2021-05-27T00:00:00Z,,Citrobacter virus CrRp10,dsDNA,168403,France,,Citrobacter rodentium,,2015-03
NC_054900,"Zeng,Z., Salmond,G.",2021-05-27T00:00:00Z,,Citrobacter virus PhiZZ6,dsDNA,165795,United Kingdom,,Citrobacter rodentium,,2016-10-27
NC_054901,"Zeng,Z., Salmond,G.",2021-05-27T00:00:00Z,,Citrobacter virus PhiZZ23,dsDNA,167516,United Kingdom,,Citrobacter rodentium,,2016-11-08
NC_054902,"Farrokhzad,K., Applegate,B.M., Zhang,J.",2021-05-27T00:00:00Z,,Enterobacteria virus Aplg8,dsDNA,168496,USA,,Escherichia coli,,2014-01-15
NC_054903,"Farrokhzad,K., Applegate,B.M., Zhang,J.",2021-05-27T00:00:00Z,,Enterobacteria virus GiZh,dsDNA,166514,USA,,Escherichia coli,,2014-01-15
NC_054904,"Li,P., Wang,J., Tong,Y.",2021-05-27T00:00:00Z,,Enterobacteria virus IME340,dsDNA,165549,,,Escherichia coli BL21(DE3),,
NC_054905,"Farrokhzad,K., Applegate,B.M., Zhang,J.",2021-05-27T00:00:00Z,,Enterobacteria virus Kha5h,dsDNA,167318,USA,,Escherichia coli,,2014-01-15
NC_054906,"Nolan,J.M., Miller,E.S., Timpte,C.S., Schluchter,W.M., Karam,J.D.",2021-05-27T00:00:00Z,,Enterobacteria virus RB18,dsDNA,166677,,,Escherichia coli,,
NC_054907,"Akiyama,T., Ando,H., Kitao,T., Shimada,K.",2021-05-27T00:00:00Z,,Enterobacteria virus T6,dsDNA,168697,Japan,,Enterobacteriaceae,,2017-05-17
NC_054908,"Milho,C., Silva,D., Alves,D., Oliveira,H., Sousa,C., Sillankorva,S.",2021-05-27T00:00:00Z,,Escherichia virus DalCa,dsDNA,166040,"Portugal: Frossos, Braga",,Escherichia coli,,
NC_054909,"Kim,D., Kim,Y.J., Han,B.K., Kim,H.",2021-05-27T00:00:00Z,,Escherichia virus EC121,dsDNA,168805,,,Escherichia coli,,
NC_054910,"Sun,X., Yang,Z., Wang,J., Tan,Y.",2021-05-27T00:00:00Z,,Escherichia virus EcNP1,dsDNA,166176,,,Escherichia coli,,
NC_054911,"Kim,D., Kim,Y.J., Han,B.K., Kim,H.",2021-05-27T00:00:00Z,,Escherichia virus ECO4,dsDNA,168638,,,Escherichia coli,,
NC_054912,"Ferreira,A., Oliveira,H., Silva,D., Almeida,C., Burgan,J., Azered,J., Oliveira,A.",2021-05-27T00:00:00Z,,Escherichia virus EcoMF1,dsDNA,168410,,,Escherichia,,
NC_054913,"Wei,B.",2021-05-27T00:00:00Z,,Escherichia virus F2,dsDNA,168241,China,,Escherichia coli,,2019-07-23
NC_054914,"Kiljunen,S., Wicklund,A., Skurnik,M.",2021-05-27T00:00:00Z,,Escherichia virus fFiEco06,dsDNA,167076,,,Escherichia coli,,
NC_054915,"Korf,I.H.E., Adriaennsens,E., Dreiseikelmann,B., Kropinski,A., Nimtz,M., Meier-Kolthoff,J.P., Rohde,M., van Raaij,M., Wittmann,J.",2021-05-27T00:00:00Z,,Escherichia virus G8,dsDNA,169650,Germany,,Escherichia coli,,2016-08
NC_054916,"Schmidt,I., Wittmann,J., Bunk,B., Sproer,C., Rohde,M., Rohde,C., Kittler,S., Mengden,R., Bierbrodt,A., Lehnherr,H., Author,U.",2021-05-27T00:00:00Z,,Escherichia virus G28,dsDNA,170121,Germany,,Escherichia coli,,2016-08
NC_054917,"Korf,I.H.E., Adriaennsens,E., Dreiseikelmann,B., Kropinski,A., Nimtz,M., Meier-Kolthoff,J.P., Rohde,M., van Raaij,M., Wittmann,J.",2021-05-27T00:00:00Z,,Escherichia virus G50,dsDNA,167728,Germany,,Escherichia coli,,2016-08
NC_054918,"Korf,I.H.E., Adriaennsens,E., Dreiseikelmann,B., Kropinski,A., Nimtz,M., Meier-Kolthoff,J.P., Rohde,M., van Raaij,M., Wittmann,J.",2021-05-27T00:00:00Z,,Escherichia virus G4498,dsDNA,167826,Germany,,Escherichia coli,,2016-08
NC_054919,"Korf,I.H.E., Adriaennsens,E., Dreiseikelmann,B., Kropinski,A., Nimtz,M., Meier-Kolthoff,J.P., Rohde,M., van Raaij,M., Wittmann,J.",2021-05-27T00:00:00Z,,Escherichia virus G4507,dsDNA,168828,Germany,,Escherichia coli,,2016-08
NC_054920,"Korf,I.H.E., Adriaennsens,E., Dreiseikelmann,B., Kropinski,A., Nimtz,M., Meier-Kolthoff,J.P., Rohde,M., van Raaij,M., Wittmann,J.",2021-05-27T00:00:00Z,,Escherichia virus G9062,dsDNA,168670,Germany,,Escherichia coli,,2016-08
NC_054921,"Wu,Y., Qu,Y.",2021-05-27T00:00:00Z,,Escherichia virus IME537,dsDNA,168642,China,,Escherichia coli,,
NC_054922,"Korf,I.H.E., Adriaennsens,E., Dreiseikelmann,B., Kropinski,A., Nimtz,M., Meier-Kolthoff,J.P., Rohde,M., van Raaij,M., Wittmann,J.",2021-05-27T00:00:00Z,,Escherichia virus KAW1E185,dsDNA,164987,Germany,,Escherichia coli,,2016-04
NC_054923,"Pham-Khanh,N.H., Nakayama,T., Truong,T.B.V., Miyanaga,K., Kamei,K.",2021-05-27T00:00:00Z,,Escherichia virus KIT03,dsDNA,166848,,,Escherichia coli O157:H7,,
NC_054924,"Dias,C., Almeida,C., Lobocka,M., Oliveira,H.",2021-05-27T00:00:00Z,,Escherichia virus Lutter,dsDNA,170054,,,Escherichia,,
NC_054925,"Costa,A.R., Brouns,S.J.J., Nobrega,F.L.",2021-05-27T00:00:00Z,,Escherichia virus NBG2,dsDNA,166083,,,Escherichia coli,,
NC_054926,"Korf,I.H.E., Adriaennsens,E., Dreiseikelmann,B., Kropinski,A., Nimtz,M., Meier-Kolthoff,J.P., Rohde,M., van Raaij,M., Wittmann,J.",2021-05-27T00:00:00Z,,Escherichia virus OE5505,dsDNA,168756,Germany,,Escherichia coli,,2015-11
NC_054927,"Dias,C., Almeida,C., Lobocka,M., Oliveira,H.",2021-05-27T00:00:00Z,,Escherichia virus Ozark,dsDNA,167600,,,Escherichia,,
NC_054928,"Liu,G., Sun,H., Ren,H., Pan,Q.",2021-05-27T00:00:00Z,,Escherichia virus PD112,dsDNA,168084,,,Escherichia coli,,
NC_054929,"Hoang Minh,S., Hoang Minh,D., Honjo,K.-I., Miyamoto,T.",2021-05-27T00:00:00Z,,Escherichia virus PE37,dsDNA,166423,Japan,,Escherichia coli,,
NC_054930,"Hoshiga,F., Yoshizaki,K., Miyanaga,K., Tanji,Y.",2021-05-27T00:00:00Z,,Escherichia virus PP01,dsDNA,167812,,,Escherichia,,
NC_054931,"Hoshiga,F., Yoshizaki,K., Miyanaga,K., Tanji,Y.",2021-05-27T00:00:00Z,,Enterobacteria phage T2,dsDNA,163825,,,Escherichia,,
NC_054932,"Olsen,N.S., Forero-Junco,L., Kot,W., Hansen,L.H., Junco,L.M.F., Hestbjerg,L.H.",2021-05-27T00:00:00Z,,Escherichia virus teqdroes,dsDNA,166833,Denmark,,Escherichia coli,,2017
NC_054933,"Olsen,N.S., Forero-Junco,L., Kot,W., Hansen,L.H., Junco,L.M.F., Hestbjerg,L.H.",2021-05-27T00:00:00Z,,Escherichia virus teqhad,dsDNA,167892,Denmark,,Escherichia coli,,2017
NC_054934,"Olsen,N.S., Forero-Junco,L., Kot,W., Hansen,L.H., Junco,L.M.F., Hestbjerg,L.H.",2021-05-27T00:00:00Z,,Escherichia virus teqskov,dsDNA,165017,Denmark,,Escherichia coli,,2017
NC_054935,"Raman,G., Sivasankaran,A., Park,S., Ahn,Y.-H.",2021-05-27T00:00:00Z,,Escherichia virus YUEEL01,dsDNA,168266,South Korea,,Escherichia coli,,2016-05-05
NC_054936,"Kim,D., Kim,Y.J., Han,B.K., Kim,H.",2021-05-27T00:00:00Z,,Salmonella virus SG1,dsDNA,169805,,,Salmonella enterica subsp. enterica serovar Gallinarum,,
NC_054937,"Kim,S.G., Lee,C.H., Park,S.C.",2021-05-27T00:00:00Z,,Salmonella virus SNUABM-01,dsDNA,172360,South Korea,,Salmonella enterica,,2018-11-15
NC_054938,"Zeng,Z., Salmond,G.",2021-05-27T00:00:00Z,,Serratia virus PhiZZ30,dsDNA,167484,United Kingdom,,Serratia sp. ATCC 39006,,2016-11-08
NC_054939,"Kaczorowska,J., Casey,E., Neve,H., Noben,J.-P., Lugli,G.A., Ventura,M., van Sinderen,D., Mahony,J.",2021-05-27T00:00:00Z,,Shigella virus CM8,dsDNA,167247,Ireland,,Escherichia coli BL21,muscle,2017-01-31
NC_054940,"Kaczorowska,J., Casey,E., Neve,H., Noben,J.-P., Lugli,G.A., Ventura,M., van Sinderen,D., Mahony,J.",2021-05-27T00:00:00Z,,Shigella virus JK45,dsDNA,170740,Ireland,,Escherichia coli DH5[alpha],,2017-01-31
NC_054941,"Doore,S.M., Schrad,J.R., Dover,J.A., Parent,K.N.",2021-05-27T00:00:00Z,,Shigella virus Sf23,dsDNA,167678,,,Shigella flexneri,,2016-10-05
NC_054942,"Hamdi,S., Rousseau,G.M., Labrie,S.J., Tremblay,D.M., Kourda,R.S., Slama,K.B., Moineau,S.",2021-05-27T00:00:00Z,,Shigella virus SH7,dsDNA,164870,,,Shigella sp.,,
NC_054943,"Skurnik,M.",2021-05-27T00:00:00Z,,Yersinia virus fPS-2,dsDNA,169060,,,Yersinia,,
NC_054944,"Hammerl,J.A., Hertwig,S.",2021-05-27T00:00:00Z,,Yersinia virus PYPS2T,dsDNA,169604,Germany,,Yersinia pseudotuberculosis,,2018
NC_054945,"Deng,S.S., Gao,M.M., Yang,Q.Q., Wang,S.S.",2021-05-27T00:00:00Z,,Yersinia virus ZN18,dsDNA,167948,China,,Yersinia pseudotuberculosis,,2017-11-01
NC_054946,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Simangalove,dsDNA,44834,Reunion,,Ralstonia pseudosolanacearum,,2018-02-27
NC_054947,"Ramesh,G.R., Gopinathan,K.P.",2021-05-27T00:00:00Z,,Mycobacterium virus I3,dsDNA,344,,,,,
NC_054948,"Ramesh,G.R., Gopinathan,K.P.",2021-05-27T00:00:00Z,,Mycobacterium virus I3,dsDNA,365,,,,,
NC_054949,"Ramesh,G.R., Gopinathan,K.P.",2021-05-27T00:00:00Z,,Mycobacterium virus I3,dsDNA,469,,,,,
NC_054950,"Ramesh,G.R., Gopinathan,K.P.",2021-05-27T00:00:00Z,,Mycobacterium virus I3,dsDNA,1049,,,,,
NC_054951,"Ramesh,G.R., Gopinathan,K.P.",2021-05-27T00:00:00Z,,Mycobacterium virus I3,dsDNA,420,,,,,
NC_054952,"Liu,X., Tong,Y., Huang,Y., Fan,H., An,X., Mi,Z., Zhang,Z.",2021-05-27T00:00:00Z,,Stenotrophomonas virus IMESM1,dsDNA,159514,China,,Stenotrophomonas sp.,,2014-12
NC_054953,"Dyall-Smith,M., Palm,P., Wanner,G., Witte,A., Oesterhelt,D., Pfeiffer,F.",2021-05-27T00:00:00Z,,Halobacterium virus ChaoS9,dsDNA,55145,Germany,,,,2007
NC_054954,"Dyall-Smith,M., Palm,P., Wanner,G., Witte,A., Oesterhelt,D., Pfeiffer,F., Klein,R., Baranyi,U., Rossler,N., Greineder,B., Scholz,H., Sulzner,M., Luo,C., Kruger,D.H., Lubitz,W.",2021-05-27T00:00:00Z,,Natrialba virus PhiCh1,dsDNA,58487,Austria,,,,1996
NC_054955,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Raharianne,dsDNA,46321,Reunion,,Ralstonia pseudosolanacearum,,2018-02-28
NC_054956,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Cimandef,dsDNA,55171,Reunion,,Ralstonia pseudosolanacearum,,2018-02-13
NC_054957,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Eline,dsDNA,57352,Mauritius,,Ralstonia pseudosolanacearum,,2018-03-06
NC_054958,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Gamede,dsDNA,58603,Mauritius,,Ralstonia pseudosolanacearum,,2018-03-06
NC_054959,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Gerry,dsDNA,60898,Mauritius,,Ralstonia pseudosolanacearum,,2018-03-07
NC_054960,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Heva,dsDNA,58352,Reunion,,Ralstonia pseudosolanacearum,,2018-02-22
NC_054961,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Firinga,dsDNA,39744,Mauritius,,Ralstonia pseudosolanacearum,,2018-03-07
NC_054962,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Claudettte,dsDNA,57085,Mauritius,,Ralstonia pseudosolanacearum,,2018-03-07
NC_054963,"Trotereau,A., Boyer,C., Torres-Barcelo,C.",2021-05-27T00:00:00Z,,Ralstonia virus Gervaise,dsDNA,61164,Mauritius,,Ralstonia pseudosolanacearum,,2018-03-06
NC_054964,"Wang,R., Tong,Y., Liu,H.",2021-05-27T00:00:00Z,,Ralstonia virus GP4,dsDNA,61129,,,Ralstonia solanacearum,,
NC_054965,"Kojic,M., Vukotic,G.",2021-05-27T00:00:00Z,,Klebsiella virus LASTA,dsDNA,62420,Serbia,,Klebsiella pneumoniae,,2017-05-15
NC_054966,"Gao,S., Linden,S.B., Nelson,D.C.",2021-05-27T00:00:00Z,,Klebsiella virus SopranoGao,dsDNA,61644,"USA: Germantown, MD",MD,Klebsiella pneumoniae,,2015-12-01
NC_054967,"Essoh,C., Vernadet,J.-P., Vergnaud,G., Pourcel,C.",2021-05-27T00:00:00Z,,Achromobacter virus Axy04,dsDNA,73834,Cote d'Ivoire,,Achromobacter xylosoxidans,,2017-09-01
NC_054968,"Essoh,C., Vernadet,J.-P., Vergnaud,G., Pourcel,C.",2021-05-27T00:00:00Z,,Achromobacter virus Axy12,dsDNA,74096,Cote d'Ivoire,,Achromobacter xylosoxidans,,2016-01-22
NC_054969,"Essoh,C., Vernadet,J.-P., Vergnaud,G., Pourcel,C.",2021-05-27T00:00:00Z,,Achromobacter virus Axy24,dsDNA,74744,Cote d'Ivoire,,Achromobacter xylosoxidans,,2016-01-22
NC_054970,"Djurhuus,A.M., Carstens,A.B., Hansen,L.H.",2021-05-27T00:00:00Z,,Pseudomonas virus inbricus,dsDNA,70211,,,Pseudomonas syringae pv. avii,,
NC_054971,"Essoh,C., Vernadet,J.-P., Vergnaud,G., Pourcel,C.",2021-05-27T00:00:00Z,,Achromobacter virus Axy10,dsDNA,73898,Cote d'Ivoire,,Achromobacter xylosoxidans,,2017-09-01
NC_054972,"Essoh,C., Vernadet,J.-P., Vergnaud,G., Pourcel,C.",2021-05-27T00:00:00Z,,Achromobacter virus Axy11,dsDNA,73413,Cote d'Ivoire,,Achromobacter xylosoxidans,,2016-01-22
NC_054973,"Lozano-Solano,D., Acosta-Hoyos,A., Reales-Gonzalez,J., Arquez,M.",2021-05-27T00:00:00Z,,Staphylococcus virus Baq_Sau1,dsDNA,44384,,,Staphylococcus aureus subsp. aureus RN4220,,
NC_054974,"Seo,H.S., Na,H., Ryu,S.",2021-05-27T00:00:00Z,,Staphylococcus virus HSA84,dsDNA,42650,,,Staphylococcus aureus,,
NC_054975,"DSouza,R., White,R.C., Buzzeo,R., Goglin,K., Vashee,S., Lee,Y., Son,B., Ryu,S., Fouts,D.E., Dsouza,R.",2021-05-27T00:00:00Z,,Staphylococcus virus SA75,dsDNA,43134,South Korea,,Staphylococcus aureus subsp. aureus RN4220,feces,
NC_054976,"Yu,J.-H., Park,J.-H., Chang,H.-J., Lim,J.-A.",2021-05-27T00:00:00Z,,Staphylococcus virus SAP33,dsDNA,42414,,,Staphylococcus aureus,,
NC_054977,"Yoon,H., Yun,J., Lim,J.A., Roh,E., Jung,K.S., Chang,Y., Ryu,S., Heu,S., Shin,H.",2021-05-27T00:00:00Z,,Staphylococcus virus SP5,dsDNA,43305,,,Staphylococcus aureus,,
NC_054978,"Lee,Y.D., Chang,H.I., Park,J.H., Lee,Y.-D., Park,J.-H.",2021-05-27T00:00:00Z,,Staphylococcus virus TEM126,dsDNA,41882,,,Staphylococcus aureus,,2009-12-07
NC_054979,"Botka,T., Ruzickova,V.",2021-05-27T00:00:00Z,,Staphylococcus virus B122,dsDNA,43108,Czech Republic,,Staphylococcus aureus,,2007
NC_054980,"Liu,Z., Teng,T.",2021-05-27T00:00:00Z,,Staphylococcus virus Henu2,dsDNA,43513,China,,Staphylococcus aureus,,2017-05-07
NC_054981,"Park,D., Park,J.",2021-05-27T00:00:00Z,,Staphylococcus virus SAP27,dsDNA,43444,,,Staphylococcus aureus subsp. aureus RN4220,,
NC_054982,"Klotz,K., Korn,A., Newkirk,H., Liu,M., Gill,J.J., Ramsey,J.",2021-05-27T00:00:00Z,,Staphylococcus virus Sebago,dsDNA,43878,USA: MN,MN,Staphylococcus aureus,,2017
NC_054983,"Dakheel,K.H., Abdul Rahim,R., Neela,V.K., Al-Obaidi,J.R., Tan,G.H., Mat Isa,M.N.B., Yusoff,K.",2021-05-27T00:00:00Z,,Staphylococcus virus UPMK2,dsDNA,40955,Malaysia,,Staphylococcus,,
NC_054984,"Merrill,B.D., Monk,J., Ward,A.T., Berg,J.A., Hilton,J.A., Fajardo,C.P., Walker,J.K., Breakwell,D.P., Grose,J.H., Hope,S., Tsourkas,P.K.",2021-05-27T00:00:00Z,,Paenibacillus virus Dragolir,dsDNA,41131,USA: Wisconsin,WI,Paenibacillus larvae,,
NC_054985,"Merrill,B.D., Payne,A.M., Hilton,J.A., Ward,A.T., Fajardo,C.P., Velez,K., Hope,S., Tsourkas,P.K.",2021-05-27T00:00:00Z,,Paenibacillus virus Wanderer,dsDNA,40448,USA,,Paenibacillus larvae,,
NC_054986,"Pujato,S.A., Guglielmotti,D.M., Martinez-Garcia,M., Quiberoni,A., Mojica,F.J.M., Mojica,F.J.",2021-05-27T00:00:00Z,,Leuconostoc virus LDG,dsDNA,26559,,,Leuconostoc pseudomesenteroides,,
NC_054987,"Brinks,E.",2021-05-27T00:00:00Z,,Leuconostoc virus P965,dsDNA,26526,,,Leuconostoc pseudomesenteroides,,
NC_054988,"Pujato,S.A., Guglielmotti,D.M., Martinez-Garcia,M., Quiberoni,A., Mojica,F.J.M., Mojica,F.J.",2021-05-27T00:00:00Z,,Leuconostoc virus Ln7,dsDNA,28093,Argentina,,Leuconostoc mesenteroides,,
NC_054989,"de Melo,A.G., Rousseau,G.M., Tremblay,D.M., Labrie,S.J., Moineau,S.",2021-05-27T00:00:00Z,,Brevibacterium virus AGM1,dsDNA,36032,,,Brevibacterium aurantiacum,,
NC_054990,"Oliveira,J.",2021-05-27T00:00:00Z,,Lactococcus virus 05802,dsDNA,22434,,,Lactococcus lactis,,
NC_054991,"Hayes,S.",2021-05-27T00:00:00Z,,Lactococcus virus 20R03M,dsDNA,21750,,,Lactococcus lactis,,
NC_054992,"Oliveira,J.",2021-05-27T00:00:00Z,,Lactococcus virus 37203,dsDNA,22029,,,Lactococcus lactis,,
NC_054993,"Oliveira,J.",2021-05-27T00:00:00Z,,Lactococcus virus 50102,dsDNA,22242,,,Lactococcus lactis,,
NC_054994,"Oliveira,J.",2021-05-27T00:00:00Z,,Lactococcus virus 50504,dsDNA,21562,,,Lactococcus lactis,,
NC_054995,"Marcelli,B., de Jong,A., Kuipers,O.P.",2021-05-27T00:00:00Z,,Lactococcus virus 5171F,dsDNA,21078,,,Lactococcus lactis,,
NC_054996,"Oliveira,J.",2021-05-27T00:00:00Z,,Lactococcus virus 62402,dsDNA,21980,,,Lactococcus lactis,,
NC_054997,"Oliveira,J.",2021-05-27T00:00:00Z,,Lactococcus virus 62403,dsDNA,21704,,,Lactococcus lactis,,
NC_054998,"Oliveira,J.",2021-05-27T00:00:00Z,,Lactococcus virus 62606,dsDNA,22185,,,Lactococcus lactis,,
NC_054999,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.",2021-05-27T00:00:00Z,,Lactococcus virus bIBB14,dsDNA,21710,,,Lactococcus,,
NC_055000,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.",2021-05-27T00:00:00Z,,Lactococcus virus bIBBA3,dsDNA,21906,,,Lactococcus lactis,,
NC_055001,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.",2021-05-27T00:00:00Z,,Lactococcus virus bIBBAm4,dsDNA,22703,,,Lactococcus,,
NC_055002,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.",2021-05-27T00:00:00Z,,Lactococcus virus bIBBE1,dsDNA,21749,,,Lactococcus lactis,,
NC_055003,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.",2021-05-27T00:00:00Z,,Lactococcus phage vB_Llc_bIBB12,dsDNA,21458,,,Lactococcus,,
NC_055004,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.",2021-05-27T00:00:00Z,,Lactococcus virus bIBBp6-4,dsDNA,22220,,,Lactococcus lactis,,
NC_055005,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.",2021-05-27T00:00:00Z,,Lactococcus virus blBB94p4,dsDNA,21834,,,Lactococcus lactis,,
NC_055006,"Marcelli,B., de Jong,A., Kuipers,O.P.",2021-05-27T00:00:00Z,,Lactococcus virus CHPC116,dsDNA,21869,,,Lactococcus lactis,,
NC_055007,"Marcelli,B., de Jong,A., Kuipers,O.P.",2021-05-27T00:00:00Z,,Lactococcus virus CHPC122,dsDNA,22109,,,Lactococcus lactis,,
NC_055008,"Marcelli,B., de Jong,A., Kuipers,O.P.",2021-05-27T00:00:00Z,,Lactococcus virus CHPC966,dsDNA,21749,,,Lactococcus lactis,,
NC_055009,"Marcelli,B., de Jong,A., Kuipers,O.P.",2021-05-27T00:00:00Z,,Lactococcus virus CHPC967,dsDNA,22405,,,Lactococcus lactis,,
NC_055010,"Marcelli,B., de Jong,A., Kuipers,O.P.",2021-05-27T00:00:00Z,,Lactococcus virus CHPC972,dsDNA,23281,,,Lactococcus lactis,,
NC_055011,"Marcelli,B., de Jong,A., Kuipers,O.P.",2021-05-27T00:00:00Z,,Lactococcus virus CHPC1020,dsDNA,22410,,,Lactococcus lactis,,
